rs_kind,config,RMSE,skill_vs_M0,DirAcc,DM_p_vs_Flat_S1
meanpool,m_rs_deep,4.2473340827514265,-0.0230140576767758,0.4591439688715953,0.4572924772135197
meanpool,m2_deep_gated,4.252854074526352,-0.0243436044169162,0.4747081712062256,0.4851151915899936
meanpool,m4_deep_gated,4.204943374355334,-0.0128038199702129,0.5019455252918288,0.2389903562791369
meanpool_anom,m_rs_deep,4.268694635691384,-0.0281589663445607,0.4824902723735408,0.5481207251267739
meanpool_anom,m2_deep_gated,4.317816090923604,-0.0399903735889723,0.4630350194552529,0.7444948021855637
meanpool_anom,m4_deep_gated,4.149679581079882,0.0005070325080333,0.5330739299610895,0.055793027424634
